Ident,Lat,Lon,Alt
TN39,35.30563611,-86.23665639,329
WAPA,-3.34686800,128.92583000,1
RJDA,32.48250100,130.15886800,104
HL49,29.47734583,21.12192350,44
SSAM,-23.14277840,-55.20777890,470
RJKA,28.43063450,129.71254300,8
C11,41.79584027,-91.87101112,217
OH61,39.63534111,-82.73794751,274
SBAM,2.07751000,-50.85823600,14
SDAM,-22.85924000,-47.10818300,612
SNAZ,-12.99364300,-39.63992100,425
70CL,36.29578916,-116.42587473,621
EEEI,59.26029550,24.20850400,20
WX05,-1.27408600,132.19235600,302
YAMT,-26.09745124,131.20284713,695
FY05,-17.55000000,17.70000000,1158
AZB,-10.29934100,149.33798200,3
WX06,-5.61064400,139.62148200,14
VIAM,30.36814650,76.81666525,277
FMNW,-14.89874900,47.99389450,28
YABL,-23.35174730,134.73213508,569
LFXA,45.98367925,5.33254450,251
YAMB,-27.63691321,152.71260826,27
LFHT,45.51950000,3.74776100,563
